SITE_ID,BASIN,PLOT,TAG,SPP,AZ,SDIST,HDST,DBH (CM),DBH (INCHES),HT,LCH,LIVING OR DC,HEALTH,CROWN,DAM1,DAM2,DAM3,COND,COND2,LE_ANG,WILDLIFE USE,REMARKS
C1-7VB,C1,7,289,TSHE,124,16,15.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,292,TSHE,140,8.9,8.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,294,TSHE,164,8.9,8.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,295,TSHE,167,17.4,17,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,296,TSHE,167,14,13.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,297,TSHE,176,14.7,14.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,299,TSHE,186,9.2,8.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"NOT FOUND, WAS A DC 3 SNAG, LIKELY CWD OR DECOMPOSED"
C1-7VB,C1,7,307,TSHE,245,10.7,10.4,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"NOT FOUND, LIKELY CWD (WAS DC 1 SNAG)"
C1-7VB,C1,7,310,TSHE,257,13,12.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,313,TSHE,265,11.3,11.3,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,316,TSHE,278,11.2,11.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,317,TSHE,283,8.3,8.3,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,318,TSHE,299,11.6,11.5,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,320,TSHE,302,3.8,3.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,322,TSHE,308,10.9,10.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,323,TSHE,319,14,13.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,324,TSHE,327,10.4,10.1,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,325,TSHE,341,8,7.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,326,TSHE,342,8.2,7.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,327,TSHE,342,8.4,8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"NOT FOUND, WAS A DC1 SNAG, LIKELY CWD"
C1-7VB,C1,7,329,TSHE,348,3.1,2.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,330,TSHE,349,3.4,3.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,332,TSHE,353,10.3,9.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-7VB,C1,7,264,TSHE,360,13.4,12.6,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-8VB,C1,8,1369,TSHE,12,16.1,15.1,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1369,TSHE,12,16.1,15.1,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1371,TSHE,38,17.2,15.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT FOUND
C1-8VB,C1,8,1371,TSHE,38,17.2,15.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT FOUND
C1-8VB,C1,8,1373,TSHE,50,14.2,13.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1373,TSHE,50,14.2,13.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1374,TSHE,58,3.7,3.6,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1374,TSHE,58,3.7,3.6,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1375,TSHE,60,5.5,5.3,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1375,TSHE,60,5.5,5.3,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1376,THPL,62,13.5,12.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-8VB,C1,8,1377,THPL,62,18.2,17.1,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT FOUND
C1-8VB,C1,8,1378,TSHE,62,7.4,7.0,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1376,THPL,62,13.5,12.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
C1-8VB,C1,8,1377,THPL,62,18.2,17.1,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT FOUND
C1-8VB,C1,8,1378,TSHE,62,7.4,7.0,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1379,TSHE,70,7.4,7.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1379,TSHE,70,7.4,7.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD
C1-8VB,C1,8,1380,TSHE,89,13.7,13.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP
