SITE_ID,BASIN,PLOT,SUBPLOT,DEPTH_0.5m ,DEPTH_1.0m ,DEPTH_1.5m,DEPTH_2.0m,DEPTH_2.5m,average,REMARKS
N1-18VB,N1,18,NORTH,,,,,,na,COULD NOT FIND MINERAL SOIL
N1-18VB,N1,18,WEST,,,,,,na,COULD NOT FIND MINERAL SOIL
N1-19V,N1,19,WEST,10,2,6,1,4,4.6,
N1-19V,N1,19,NORTH,2,3,8,14,22,9.8,
N1-19V,N1,19,EAST,34,36,STUMP,STUMP,26,32,"THPL STUMP BLOCKING DEPTHS, USED WESTERN TRANSECT INSTEAD"
N1-19V,N1,19,SOUTH,13,18,30,29,CWD,22.5,CWD BLOCKING LAST DEPTH
N1-20V,N1,20,NORTH,7,2,6,8,1,4.8,
N1-20V,N1,20,WEST,30,25,17,24,2,19.6,
N1-20V,N1,20,EAST,15,18,12,25,20,18,
N1-20V,N1,20,SOUTH,19,>30,ROOTS,ROOTS,ROOTS,19,
N1-21VB,N1,21,EAST,5,6,12,28,5,11.2,
N1-21VB,N1,21,NORTH,8,10,5,4,7,6.8,
N1-21VB,N1,21,SOUTH,7,12,9.5,35,23,17.3,
N1-21VB,N1,21,WEST,>30,,,,,30,VERY DEEP LITTER DEPTH
N1-22V,N1,22,SOUTH,8,13,8,4,3,7.2,
N1-22V,N1,22,NORTH,5,8,8,6,4,6.2,
N1-22V,N1,22,WEST,13,14,4,7,5,8.6,
N1-22V,N1,22,EAST,13,12,13,16,18,14.4,
N1-24VB,N1,24,NORTH,11,6.5,6,2.5,2.5,5.7,
N1-24VB,N1,24,EAST,>30,18,20,20,6,16,
N1-24VB,N1,24,WEST,18,30,15,13,20,19.2,
N1-24VB,N1,24,SOUTH,>30,>30,>30,>30,>30,30,
N1-25VB,N1,25,SOUTH,6,4,9,8,10,7.4,
N1-25VB,N1,25,WEST,>30,16,>30,>30,>30,16,
N1-25VB,N1,25,EAST,>30,>30,>30,>30,>30,30,
N1-25VB,N1,25,NORTH,>30,>30,>30,>30,>30,30,
N1-26V,N1,26,NORTH,6,6,4,3,1,4,
N1-26V,N1,26,SOUTH,12,9.5,9,9.5,1,8.2,
N1-26V,N1,26,WEST,3,5,5,4,3,4,
